-2.000000	-5.000000
-1.900000	-3.959000
-1.800000	-3.032000
-1.700000	-2.213000
-1.600000	-1.496000
-1.500000	-0.875000
-1.400000	-0.344000
-1.300000	0.103000
-1.200000	0.472000
-1.100000	0.769000
-1.000000	1.000000
-0.900000	1.171000
-0.800000	1.288000
-0.700000	1.357000
-0.600000	1.384000
-0.500000	1.375000
-0.400000	1.336000
-0.300000	1.273000
-0.200000	1.192000
-0.100000	1.099000
0.000000	1.000000
0.100000	0.901000
0.200000	0.808000
0.300000	0.727000
0.400000	0.664000
0.500000	0.625000
0.600000	0.616000
0.700000	0.643000
0.800000	0.712000
0.900000	0.829000
1.000000	1.000000
1.100000	1.231000
1.200000	1.528000
1.300000	1.897000
1.400000	2.344000
1.500000	2.875000
1.600000	3.496000
1.700000	4.213000
1.800000	5.032000
1.900000	5.959000
